src_ip_reputation_score,login_attempts_last_hour,geo_mismatch,unusual_time_access,data_transfer_mb,known_malicious_indicator_count,days_since_last_patch,protocol_risk_score,user_privilege_level,prior_incident_count,label
79.93428306022466,1,0,0,35.10800262027327,0,13.621178176956713,24.532082830323834,5,1,0
67.2347139765763,1,0,0,29.635624660046844,0,0.6077298740163385,44.36391096772749,2,0,0
82.95377076201385,2,1,0,85.19432810322074,1,6.67079584719264,28.95062599859248,5,0,1
100.0,2,0,0,2.5071785315558848,0,18.688836467335204,7.300131301907221,5,0,0
65.31693250553329,3,0,0,4.521204142315904,1,8.759270409385824,31.469628255961364,3,1,0
65.3172608610164,0,0,0,1.0963758645276238,0,24.600324068307803,23.212112160641993,3,2,1
100.0,1,0,0,58.23486489131218,0,9.926010408965881,38.56463687018273,2,0,0
85.34869458305818,4,0,0,37.28692238213648,1,77.51143823050089,8.06340102376841,2,1,0
60.610512281300956,2,0,0,104.38260818600249,0,67.25278028987398,48.16765453049172,5,0,0
80.8512008717193,1,0,0,34.51086414251884,1,32.17283603474578,36.705124045367256,3,0,0
60.73164614375075,2,0,0,12.539843503705676,0,61.75279731727226,26.86749710233056,2,0,0
60.68540492859486,1,0,0,81.7755882829203,1,4.582685237265668,6.842321966287056,2,1,0
74.83924543132068,3,0,1,17.42994318875594,0,27.799877180333286,8.085943040695408,2,0,0
31.73439510684404,3,0,0,137.2018375688698,1,7.762092541427544,40.280657081719355,3,1,0
35.501643349739346,6,0,0,14.412370801566935,1,25.841100102887037,42.04787872054359,2,2,1
58.754249415180546,1,1,0,9.17935703759674,0,9.364694665564231,45.62387877641859,5,0,0
49.74337759331152,3,0,0,33.9941758086023,0,6.833493389596256,55.00905327496842,2,0,0
70.16436265519079,1,0,0,2.5917835444729214,0,63.783959633886944,41.237256357870635,4,0,0
51.83951848957578,4,0,0,1.854558992083231,0,4.711546671968377,36.11244046199178,1,0,0
41.75392597329417,2,0,1,34.260393548053045,0,28.42339763746424,65.82689352239801,5,2,1
99.31297537843108,3,0,0,12.110386217410984,0,22.458437529516942,21.818103670664538,2,1,0
65.4844739902693,1,0,0,0.46983244712120237,0,7.233107709988225,28.48966355294233,4,0,0
71.35056409375848,2,0,0,17.552888309671253,1,12.262447029870312,6.8810081315325995,3,0,0
41.505036275730866,2,0,0,32.443822956303556,0,3.085019268677503,39.36722192393809,5,1,0
59.11234550949635,2,0,0,25.067590573998327,0,50.81902961204203,26.948218771189936,5,1,0
72.21845179419732,1,0,1,7.278432741501346,0,68.91540398931312,20.697601618276565,2,0,0
